RowID, Date, TimeStamp, AccX, AccY, Accz, Comment
0, Sun Dec 18 19:31:14 GMT+01:00 2016, 1.03464084E15, 0.17238252, 0.6991069, 9.356541, null
0, Sun Dec 18 19:31:14 GMT+01:00 2016, 1.03464105E15, 0.1436521, 0.6703765, 9.308656, null
0, Sun Dec 18 19:31:14 GMT+01:00 2016, 1.03464125E15, -0.08619126, 0.59376204, 9.385271, null
0, Sun Dec 18 19:31:14 GMT+01:00 2016, 1.03464145E15, 0.60333884, 0.009576807, 9.337387, null
0, Sun Dec 18 19:31:14 GMT+01:00 2016, 1.03464165E15, -0.2681506, 0.6991069, 8.983045, null
0, Sun Dec 18 19:31:15 GMT+01:00 2016, 1.03464185E15, -0.6512229, 1.1492168, 9.078813, null
0, Sun Dec 18 19:31:15 GMT+01:00 2016, 1.03464205E15, -0.39264908, 0.9768343, 9.212888, null
0, Sun Dec 18 19:31:15 GMT+01:00 2016, 1.03464225E15, -0.10534488, 0.7469909, 9.260772, null
0, Sun Dec 18 19:31:15 GMT+01:00 2016, 1.03464246E15, 0.45010993, -0.10534488, 9.56723, null
0, Sun Dec 18 19:31:15 GMT+01:00 2016, 1.03464266E15, 0.4405331, 0.038307227, 9.615114, null
0, Sun Dec 18 19:31:16 GMT+01:00 2016, 1.0346428E15, -0.047884032, 0.17238252, 9.346964, null
0, Sun Dec 18 19:31:16 GMT+01:00 2016, 1.034643E15, -0.82360536, 1.3503298, 9.433155, null
0, Sun Dec 18 19:31:16 GMT+01:00 2016, 1.0346432E15, -0.6607997, 1.1109096, 9.270349, null
0, Sun Dec 18 19:31:16 GMT+01:00 2016, 1.0346434E15, -0.32561144, 1.2066777, 9.346964, null
0, Sun Dec 18 19:31:16 GMT+01:00 2016, 1.0346436E15, -0.45968673, 1.0821792, 9.385271, null
0, Sun Dec 18 19:31:16 GMT+01:00 2016, 1.0346438E15, -0.58418524, 1.1300632, 9.289502, null
